created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Nov 22 23:59:09 +0000 2023;1727476844428189865;"@tvOneNews Benar, dari awal IKN saya jg tak setuju. Perbaiki dulu kota2 yg ada krn banyak yg tak beres tata kelolanya. Jgn paksakan bangun IKN padahal tak ada dana &amp  malah lahan disana dijual dg harga sangat murah. Kasihanilah hutan &amp  rakyat di Kalimantan.";1;0;0;3;in;1360946552;1727325051543064915;CaturRp;https://twitter.com/CaturRp/status/1727476844428189865
Wed Nov 22 23:58:23 +0000 2023;1727476653616672773;"@BosPurwa Dari jawaban ini, seandainya anies menang, keknya ikn ga bakal dilanjutkan.";0;0;0;0;in;1153799743018942471;1727267372313247864;nova77294710;https://twitter.com/nova77294710/status/1727476653616672773
Wed Nov 22 23:58:22 +0000 2023;1727476646503129441;"@idextratime @bliblidotcom Kok ada yg aneh dapat limpahan projects terus dari pusat karena anak perdana menteri, bahkan ikn ga disiapkan dari semifinal dan final  hajatan negara (ibukota) tapi puncak dan semifinalnya di kabupaten/kotif  Kalau di konfirm nanti tinggal bilang itu FIFA yg nunjuk";0;0;0;0;in;1390568423768215553;1727330860616258044;writerfreax;https://twitter.com/writerfreax/status/1727476646503129441
Wed Nov 22 23:57:22 +0000 2023;1727476394610118930;"@soeyoto1 Semua proyek dilihat baik buruknya, setelah potong tumpeng, dan sekarang dikaji ulang ternyata hanya menyengsarakan rakyat. Ya terpaksa dong dibuang, tapi sayang dana yg sdh keluar, makanya IKN tetap jalan tapi tidak tergusu gusu, jalan saja sampai selesai sesuai dana yg ada.";0;0;0;0;in;1347407582688800772;1727334600920420469;ABDULRA89491208;https://twitter.com/ABDULRA89491208/status/1727476394610118930
Wed Nov 22 23:57:16 +0000 2023;1727476369909854718;"@AryoDj @kumparan apalagi ikn dg anggaran sebanyak itu?  ikn masih sepi investor ya salah satunya krna persepsi investor klo indonesia msih bnyak proyek dikorupsi";0;2;0;3;in;1146707610130796545;1727189312322855306;askwzjk;https://twitter.com/askwzjk/status/1727476369909854718
Wed Nov 22 23:56:55 +0000 2023;1727476284438249696;"Mmg  Keberanian @gibran_tweet 2 kali lipat dari @jokowi   Dan ini sangat ideal untuk berpasangan dgn @prabowo untuk meneruskan Program Hilirisasi dan melanjutkan program IKN   Sangat rugi Besar jika asset bangsa jika harus dihentikan oleh Uban Koruptor yg suka Bokep untuk asing";0;0;1;2;in;1707296384347697152;1727476284438249696;icikiwir_08;https://twitter.com/icikiwir_08/status/1727476284438249696
Wed Nov 22 23:56:38 +0000 2023;1727476212401131732;"@tvOneNews IKN itu proyek ambisius seorang pengidap NPD dan Megalomania.  Saatnya dikoreksi oleh akal sehat yang ingin berubah.  Semakin mantab saya bersama @aniesbaswedan dan @cakimiNOW . Mereka yg paling pantas memimpin negeri ini. AMIN.";0;0;0;1;in;99946378;1727325051543064915;AdjieSSoera;https://twitter.com/AdjieSSoera/status/1727476212401131732
Wed Nov 22 23:55:26 +0000 2023;1727475908276297844;"@RidhoRahmadi85 Betul sekali ini, akhir bulan kemaren dari sana...debu di mana mana..keliatan berantakan sekali..dermaga pelabuhan IKN  masih papan nama saja..tanah yg baru dibuka..";0;1;0;0;in;102224888;1727122812341748105;Benkbenkad;https://twitter.com/Benkbenkad/status/1727475908276297844
Wed Nov 22 23:55:16 +0000 2023;1727475868115833088;"Sumber listrik di IKN https://t.co/gExMxUp0bQ";0;0;0;0;in;1543500207031488513;1727475868115833088;JaneManatad_;https://twitter.com/JaneManatad_/status/1727475868115833088
Wed Nov 22 23:54:39 +0000 2023;1727475714507800936;"@Jackjackaljugja @tvOneNews Baca berita mangkanyah ikn belom ada investor wkwkwwkwk";0;3;0;2;in;105539503;1727325051543064915;gunnerzBallo;https://twitter.com/gunnerzBallo/status/1727475714507800936
Wed Nov 22 23:54:32 +0000 2023;1727475681913913373;"Investor dalam negeri prioritas di IKN https://t.co/zrzRpXeCZQ";0;0;0;0;in;1543500207031488513;1727475681913913373;JaneManatad_;https://twitter.com/JaneManatad_/status/1727475681913913373
Wed Nov 22 23:54:24 +0000 2023;1727475650473419112;"IKN 🇲🇨👍";0;0;0;0;und;1596857816698195968;1727475650473419112;Yusuff43499924;https://twitter.com/Yusuff43499924/status/1727475650473419112
Wed Nov 22 23:54:18 +0000 2023;1727475625085251612;"IKN🇮🇩👍";0;0;0;0;und;1446988974946324488;1727475625085251612;Yohanes_ARB;https://twitter.com/Yohanes_ARB/status/1727475625085251612
Wed Nov 22 23:53:52 +0000 2023;1727475515051901199;"@MardaniAliSera ikn itu butuh triliunan rupiah, ya sama aja drpd dana itu dipakai buat bangun IKN, yah lebih baik dananya diratakan saja ke daerah buat  pendidikan dan pangan";0;3;0;0;in;60883738;1727284623707979817;yasin_zakaria;https://twitter.com/yasin_zakaria/status/1727475515051901199
Wed Nov 22 23:53:11 +0000 2023;1727475344985473318;"@Anggita_lung IKN 🇮🇩👍";0;0;0;0;und;1371339082706477057;1727474967804354678;AliBej0;https://twitter.com/AliBej0/status/1727475344985473318
Wed Nov 22 23:52:26 +0000 2023;1727475156136902868;"IKN🇮🇩👍";0;0;1;1;und;1371339082706477057;1727475156136902868;AliBej0;https://twitter.com/AliBej0/status/1727475156136902868
Wed Nov 22 23:52:19 +0000 2023;1727475126613180703;"IKN 🇲🇨";0;0;0;0;und;1596860770100269057;1727475126613180703;HarisPr79861328;https://twitter.com/HarisPr79861328/status/1727475126613180703
Wed Nov 22 23:51:41 +0000 2023;1727474967804354678;"Presiden Jokowi bongkar alasan investasi asing di IKN nihil.  Progres IKN, investasi  yang terbuka dan banyak yang berminat. Tetapi  sampai sekarang sudah lebih dari 300 LOI yang sudah ditandatangani, yang real memulai belum ada. Ketua KPK Tante Ahok Senegal Subuh #GISELLE Tidur https://t.co/1XPGt4dzKX";1;3;15;17;in;2907040202;1727474967804354678;Anggita_lung;https://twitter.com/Anggita_lung/status/1727474967804354678
Wed Nov 22 23:51:04 +0000 2023;1727474810253631755;"@Yulia_NS79 IKN Nusantara🇮🇩👍";0;0;0;1;in;1446988974946324488;1727464024416325772;Yohanes_ARB;https://twitter.com/Yohanes_ARB/status/1727474810253631755
